landuse,damages
1111,9744318
1121,32474096
1122,361827070
1123,931629073
1130,0
1210,21095258056
1221,37632084263
1222,0
1230,96991
1241,166946985
1242,0
1310,3772853836
1320,0
1330,4806229396
1410,0
1421,3369270221
1422,4535546
2110,205552776426
2120,10168510143
2130,0
2210,180643066920
2220,17440139353
2230,663465959
2310,96452492506
2410,0
2420,55090859036
2430,34340072411
2440,0
3110,738687228097
3120,1233029995654
3130,213078694379
3210,725561608446
3220,209715328879
3230,193820545944
3240,163130894461
3310,484899
3320,334110849178
3330,425975175314
3340,445951853
3350,0
4000,7454996227
5110,0
5120,0
5210,0
5220,0
5230,0
